-2018-10-21 09:24:46.900,8,1,8430,0,-102.2,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:46.978,8,6,840F,8415,8423,8429,842E,8430,0,725.6,153.37,-640.7,1366.77,1766.39,-96,-97.2,-98.8,-92.2,-98.2,-104.4,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:46.978,373,8,840F,8412,8415,8423,8429,842E,8430,8432,0,1559.54,273.45,-290.8,-1088.16,694.64,1377.56,748.58,-98.6,-106.6,-100.8,-94.8,-90.2,-105.2,-103.6,-103.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:47.197,8,7,840F,8410,8415,8423,8429,842E,8430,0,-1840.03,733.57,247.18,-632.73,1381.78,1872.86,-97.6,-88.8,-95.8,-95.8,-94.6,-100,-103.4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:47.197,373,9,840F,8410,8412,8415,8423,8428,8429,842E,8430,0,-1956.35,1540.31,774.85,14.54,-580.67,-782.35,1216.21,1755.13,-102.4,-88.6,-104.4,-97.8,-95.8,-90.0,-90.0,-100.0,-103.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:47.963,8,7,840F,8410,8415,8423,8429,842E,8430,0,-1836.27,741.55,225.61,-639.76,1436.19,2176.33,-97.2,-87.6,-95.6,-95,-92.6,-101.6,-101.4,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:47.963,373,10,840F,8410,8412,8415,8423,8428,8429,842E,8430,8432,0,-1866.29,-43.15,705.43,108.82,-493.43,-680.1,1301.57,2185.24,579.73,-100.4,-88,-105.2,-98.4,-93.2,-91.0,-91.6,-99.4,-105.6,-101.6,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:48.119,8,7,840F,8410,8415,8423,8429,842E,8430,0,-1833.93,795.95,233.58,-645.39,1427.74,2258.88,-95.8,-87.8,-95.8,-95.6,-91.6,-101.6,-102.4,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:48.119,373,10,840F,8410,8412,8415,8423,8428,8429,842E,8430,8432,0,-1869.58,1678.21,680.57,101.31,-497.18,-685.26,1298.76,1959.16,636.01,-100.4,-88.2,-103.6,-99.4,-93.8,-89.8,-92.0,-99.6,-104.2,-100.8,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:48.697,8,4,8410,8429,842E,8430,0,1201.67,3327.34,4129.86,-88.4,-92.2,-98.8,-103,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:48.697,373,7,8410,8412,8428,8429,842E,8430,8432,0,2070.79,1368.65,1173.53,3207.74,4180.98,2065.16,-88.8,-105.6,-90,-92,-100.4,-102.6,-99,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:48.806,8,7,840F,8410,8415,8423,8429,842E,8430,0,-1826.42,739.2,262.66,-638.36,1420.71,1886.46,-97.2,-87.8,-99.4,-97,-92.2,-101.6,-99.8,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:48.806,373,8,840F,8410,8415,8423,8428,8429,842E,8430,0,-1852.69,676.82,129.45,-476.07,-669.31,1357.39,1980.74,-99.8,-88,-98.8,-94.2,-89.8,-93,-98.4,-103.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2018-10-21 09:24:49.197,8,7,840F,8410,8415,8423,8429,842E,8430,0,-1818.92,735.92,173.54,-642.11,4315.13,1896.31,-101.4,-89.2,-103,-100.4,-95.2,-94,-101.2,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
